time,open,high,low,close,volume
2024-01-01 00:00:00+00:00,1.272575,1.27354,1.27193,1.272555,13019.679862558842
2024-01-02 00:00:00+00:00,1.27254,1.276005,1.26109,1.263125,273103.4564131871
2024-01-03 00:00:00+00:00,1.26313,1.267655,1.261585,1.266915,305723.63589491695
2024-01-04 00:00:00+00:00,1.26692,1.27299,1.26571,1.269105,234468.67691201717
2024-01-05 00:00:00+00:00,1.2691,1.277105,1.261125,1.27196,314729.8660714999
2024-01-07 00:00:00+00:00,1.271745,1.27243,1.27129,1.272305,5615.0299295187
2024-01-08 00:00:00+00:00,1.27231,1.27672,1.2673450000000002,1.275575,208488.45717106014
2024-01-09 00:00:00+00:00,1.2755649999999998,1.27651,1.2689499999999998,1.271185,195811.16719903052
2024-01-10 00:00:00+00:00,1.27118,1.275185,1.26863,1.275005,184994.88751901686
2024-01-11 00:00:00+00:00,1.275015,1.278535,1.269015,1.2770100000000002,327779.7255315855
2024-01-12 00:00:00+00:00,1.277005,1.27857,1.2719550000000002,1.275195,264109.6765651107
2024-01-15 00:00:00+00:00,1.27358,1.276545,1.271315,1.271555,189523.73762187362
2024-01-16 00:00:00+00:00,1.27156,1.2716850000000002,1.261955,1.263815,296967.8658434227
2024-01-17 00:00:00+00:00,1.263805,1.269625,1.25967,1.267735,286590.70633555204
2024-01-18 00:00:00+00:00,1.26773,1.2712249999999998,1.264825,1.271135,254598.63630936295
2024-01-19 00:00:00+00:00,1.2711450000000002,1.271475,1.266135,1.2703799999999998,200131.9272088185
2024-01-22 00:00:00+00:00,1.26995,1.2733,1.268695,1.27062,191990.48742180318
2024-01-23 00:00:00+00:00,1.27059,1.274715,1.264925,1.269135,230524.9872276783
2024-01-24 00:00:00+00:00,1.26913,1.277485,1.268575,1.27178,238931.48670669645
2024-01-25 00:00:00+00:00,1.27179,1.274275,1.268185,1.2706149999999998,265023.60635472834
2024-01-26 00:00:00+00:00,1.27062,1.27586,1.267555,1.270425,202342.32726804167
2024-01-29 00:00:00+00:00,1.26967,1.2718850000000002,1.266215,1.2712249999999998,177814.2675157562
2024-01-30 00:00:00+00:00,1.27123,1.272115,1.264025,1.26947,208745.87721025944
2024-01-31 00:00:00+00:00,1.269465,1.27509,1.26581,1.267975,339626.21530956775
2024-02-01 00:00:00+00:00,1.267965,1.275585,1.262525,1.2746149999999998,282741.09614150226
2024-02-02 00:00:00+00:00,1.27461,1.27724,1.2614,1.26325,239381.56671661139
2024-02-05 00:00:00+00:00,1.2621250000000002,1.262955,1.25184,1.25337,211117.67725160718
2024-02-06 00:00:00+00:00,1.253375,1.2605849999999998,1.253355,1.26037,217578.17726705223
2024-02-07 00:00:00+00:00,1.260375,1.264195,1.259695,1.26265,193097.26724053174
2024-02-08 00:00:00+00:00,1.26264,1.263875,1.2571750000000002,1.262055,182468.11732510477
2024-02-09 00:00:00+00:00,1.26205,1.26432,1.25991,1.26277,157757.35779797286
2024-02-12 00:00:00+00:00,1.26368,1.2654800000000002,1.260625,1.26267,144217.837989524
2024-02-13 00:00:00+00:00,1.262665,1.269115,1.25732,1.259015,209061.15729507804
2024-02-14 00:00:00+00:00,1.25901,1.261125,1.253555,1.256755,217345.32707612216
2024-02-15 00:00:00+00:00,1.25676,1.260525,1.254165,1.2598250000000002,187685.75749872625
