time,open,high,low,close,volume
2024-01-01 21:00:00+00:00,140.873,140.89499999999998,140.8655,140.8655,54.61999991536141
2024-01-01 21:15:00+00:00,140.866,140.9625,140.866,140.9305,410.3100033551455
2024-01-01 21:30:00+00:00,140.9305,140.9805,140.9015,140.90949999999998,264.90000200271606
2024-01-01 21:45:00+00:00,140.90449999999998,140.913,140.8825,140.9035,312.44000738859177
2024-01-01 22:00:00+00:00,140.9075,140.9275,140.8175,140.8275,3040.2499834895134
2024-01-01 22:15:00+00:00,140.826,140.9425,140.8255,140.94,4172.77999663353
2024-01-01 22:30:00+00:00,140.9395,140.976,140.905,140.9725,2203.560037255287
2024-01-01 22:45:00+00:00,140.9715,141.13099999999997,140.971,141.114,4682.370043754578
2024-01-01 23:00:00+00:00,141.1135,141.1775,141.0995,141.17200000000005,3596.5600390434265
2024-01-01 23:15:00+00:00,141.1735,141.382,141.15699999999998,141.31,4269.080052495003
2024-01-01 23:30:00+00:00,141.3115,141.33499999999998,141.2385,141.279,4750.680046200752
2024-01-01 23:45:00+00:00,141.279,141.30399999999997,141.14100000000002,141.14299999999997,5335.430037856102
2024-01-02 00:00:00+00:00,141.1455,141.25,141.144,141.24599999999998,4922.550062298775
2024-01-02 00:15:00+00:00,141.24450000000002,141.35000000000002,141.20999999999998,141.336,3839.100033760071
2024-01-02 00:30:00+00:00,141.3355,141.45800000000003,141.296,141.3715,8605.750063419342
2024-01-02 00:45:00+00:00,141.3715,141.44299999999998,141.3595,141.441,2759.60002052784
2024-01-02 01:00:00+00:00,141.4365,141.4445,141.393,141.398,2810.640020608902
2024-01-02 01:15:00+00:00,141.39749999999998,141.4065,141.3675,141.4055,3047.030029773712
2024-01-02 01:30:00+00:00,141.40449999999998,141.6725,141.389,141.488,8375.58003127575
2024-01-02 01:45:00+00:00,141.4875,141.59550000000002,141.4815,141.5645,6937.150142908096
2024-01-02 02:00:00+00:00,141.56400000000002,141.61,141.522,141.5355,5135.73012137413
2024-01-02 02:15:00+00:00,141.535,141.668,141.519,141.6605,3872.270095467568
2024-01-02 02:30:00+00:00,141.6565,141.6565,141.575,141.6005,3476.380090355873
2024-01-02 02:45:00+00:00,141.60000000000002,141.602,141.498,141.503,4125.330104470253
2024-01-02 03:00:00+00:00,141.5045,141.5735,141.4635,141.5585,4057.3500978946686
2024-01-02 03:15:00+00:00,141.5565,141.5875,141.5405,141.55200000000002,2108.260056138038
2024-01-02 03:30:00+00:00,141.5485,141.5785,141.5215,141.5745,2425.780057787895
2024-01-02 03:45:00+00:00,141.574,141.586,141.52949999999998,141.5395,3295.420058608055
2024-01-02 04:00:00+00:00,141.536,141.536,141.44099999999997,141.45600000000002,4298.800086855888
2024-01-02 04:15:00+00:00,141.4565,141.47199999999998,141.4325,141.45850000000002,3064.730068922043
2024-01-02 04:30:00+00:00,141.4595,141.4795,141.4125,141.45,2266.780043005944
2024-01-02 04:45:00+00:00,141.449,141.4515,141.3485,141.352,4738.730108141899
2024-01-02 05:00:00+00:00,141.351,141.4025,141.33800000000002,141.4025,3427.0400782823563
2024-01-02 05:15:00+00:00,141.4035,141.43099999999998,141.35500000000002,141.392,3303.6000686883926
2024-01-02 05:30:00+00:00,141.3905,141.4475,141.3605,141.413,2241.1900494098663
2024-01-02 05:45:00+00:00,141.4125,141.554,141.399,141.5245,4533.810063362122
2024-01-02 06:00:00+00:00,141.5225,141.606,141.45600000000002,141.48700000000002,11967.220105290413
2024-01-02 06:15:00+00:00,141.4875,141.53300000000002,141.418,141.446,11621.700081825256
2024-01-02 06:30:00+00:00,141.4445,141.4565,141.3905,141.4525,11205.86006641388
2024-01-02 06:45:00+00:00,141.454,141.5575,141.449,141.54700000000005,13730.350084662436
2024-01-02 07:00:00+00:00,141.5465,141.5585,141.3235,141.349,17364.99015700817
2024-01-02 07:15:00+00:00,141.348,141.4295,141.293,141.4105,13430.820057272913
2024-01-02 07:30:00+00:00,141.4125,141.5285,141.3875,141.4745,11633.840144753456
2024-01-02 07:45:00+00:00,141.474,141.5935,141.473,141.5575,11588.81023144722
2024-01-02 08:00:00+00:00,141.558,141.6745,141.5095,141.6455,9428.130167126656
2024-01-02 08:15:00+00:00,141.64600000000002,141.6685,141.5205,141.5215,9025.560151696203
2024-01-02 08:30:00+00:00,141.5205,141.52499999999998,141.38049999999998,141.4395,10967.86015510559
2024-01-02 08:45:00+00:00,141.44099999999997,141.5575,141.438,141.5545,11106.950055360794
2024-01-02 09:00:00+00:00,141.555,141.72500000000002,141.50799999999998,141.6755,10633.970056533812
2024-01-02 09:15:00+00:00,141.675,141.7735,141.615,141.65300000000002,10580.290121793749
2024-01-02 09:30:00+00:00,141.6515,141.673,141.5695,141.628,11351.530089855194
2024-01-02 09:45:00+00:00,141.6285,141.6695,141.5565,141.652,12910.130033493042
2024-01-02 10:00:00+00:00,141.6525,141.7355,141.59449999999998,141.70999999999998,11320.15009689331
2024-01-02 10:15:00+00:00,141.7095,141.74900000000002,141.6655,141.7195,9006.670120358467
2024-01-02 10:30:00+00:00,141.7215,141.89,141.72000000000003,141.8825,8027.820147633553
2024-01-02 10:45:00+00:00,141.882,141.887,141.7815,141.827,5140.660103678703
2024-01-02 11:00:00+00:00,141.8275,141.8795,141.79399999999998,141.878,5753.940114974976
2024-01-02 11:15:00+00:00,141.877,142.0765,141.877,142.065,11782.840114235878
2024-01-02 11:30:00+00:00,142.06099999999998,142.20299999999995,142.0515,142.17149999999998,10254.160125851631
2024-01-02 11:45:00+00:00,142.17649999999998,142.21800000000002,142.11200000000002,142.116,10146.440118789673
2024-01-02 12:00:00+00:00,142.1165,142.15699999999998,142.00400000000002,142.02800000000002,13008.390118598938
2024-01-02 12:15:00+00:00,142.0275,142.0465,141.95,141.9715,11766.35016489029
2024-01-02 12:30:00+00:00,141.971,141.9715,141.8875,141.906,12617.28005206585
2024-01-02 12:45:00+00:00,141.905,142.1615,141.8945,142.15300000000002,12148.410103678703
2024-01-02 13:00:00+00:00,142.1525,142.1765,141.9905,142.0325,12689.64014184475
2024-01-02 13:15:00+00:00,142.03199999999998,142.04000000000002,141.741,141.8135,15387.850086688995
2024-01-02 13:30:00+00:00,141.815,141.898,141.741,141.8775,17979.9600815773
2024-01-02 13:45:00+00:00,141.8705,141.881,141.514,141.55,22661.790089964867
2024-01-02 14:00:00+00:00,141.55200000000002,141.6975,141.5025,141.664,19933.85008955002
2024-01-02 14:15:00+00:00,141.663,141.73700000000002,141.648,141.70749999999998,16440.860117912292
2024-01-02 14:30:00+00:00,141.7095,141.93900000000002,141.69799999999998,141.938,20974.82011306286
2024-01-02 14:45:00+00:00,141.93900000000002,142.018,141.897,141.928,16963.63012802601
2024-01-02 15:00:00+00:00,141.92700000000002,142.0005,141.7145,141.76299999999998,18300.51020133496
2024-01-02 15:15:00+00:00,141.7625,141.84,141.7375,141.78,13324.920197606089
2024-01-02 15:30:00+00:00,141.78300000000002,141.9555,141.78300000000002,141.9515,9749.70012962818
2024-01-02 15:45:00+00:00,141.9505,141.9535,141.864,141.8955,8259.110059261322
2024-01-02 16:00:00+00:00,141.8955,141.971,141.881,141.935,6756.920016646385
2024-01-02 16:15:00+00:00,141.9345,141.981,141.9005,141.9255,6756.520037293434
2024-01-02 16:30:00+00:00,141.926,141.969,141.899,141.96499999999995,5146.790039658546
