time,open,high,low,close,volume
2024-01-01 00:00:00+00:00,140.873,141.382,140.8175,141.14299999999997,33092.980249390006
2024-01-02 00:00:00+00:00,141.1455,142.21800000000002,141.144,141.9565,714107.7070419714
2024-01-03 00:00:00+00:00,141.957,143.7345,141.86,143.26999999999998,890889.4932733402
2024-01-04 00:00:00+00:00,143.27100000000002,144.90300000000002,143.1215,144.8015,939611.9614943266
2024-01-05 00:00:00+00:00,144.80200000000002,145.9795,143.8085,144.65800000000002,1095637.7184503376
2024-01-07 00:00:00+00:00,144.724,144.7995,144.5885,144.59550000000002,17739.259835124016
2024-01-08 00:00:00+00:00,144.596,144.685,143.6645,143.9315,922392.9011314437
2024-01-09 00:00:00+00:00,143.9305,144.71550000000002,143.4235,144.536,957933.630472973
2024-01-10 00:00:00+00:00,144.534,145.832,144.53199999999998,145.486,851620.87903326
2024-01-11 00:00:00+00:00,145.486,146.41699999999997,144.9435,145.256,1005005.2247687131
2024-01-12 00:00:00+00:00,145.2575,145.56900000000002,144.35500000000002,144.909,899869.5207095072
2024-01-14 00:00:00+00:00,145.152,145.2345,144.9915,145.0605,33966.83022224903
2024-01-15 00:00:00+00:00,145.062,145.94400000000002,144.9365,145.848,624200.6706758961
2024-01-16 00:00:00+00:00,145.849,147.485,145.801,147.33499999999998,1196146.4971321672
2024-01-17 00:00:00+00:00,147.3345,148.5265,147.1005,148.007,1096562.4587095976
2024-01-18 00:00:00+00:00,148.006,148.3025,147.6575,148.031,1042590.3963266462
2024-01-19 00:00:00+00:00,148.0305,148.80599999999998,147.841,148.1055,848388.1518794671
2024-01-21 00:00:00+00:00,148.1275,148.2335,148.012,148.091,37785.67025518417
2024-01-22 00:00:00+00:00,148.091,148.305,147.6185,148.119,880370.540771313
2024-01-23 00:00:00+00:00,148.1175,148.6975,146.983,148.114,875076.8226623386
2024-01-24 00:00:00+00:00,148.1155,148.25650000000002,146.651,147.731,991033.2722113878
2024-01-25 00:00:00+00:00,147.7305,147.9445,147.0845,147.571,981828.6097849607
2024-01-26 00:00:00+00:00,147.571,148.2115,147.40449999999998,148.18099999999998,828829.9311024398
