time,open,high,low,close,volume
2024-01-01 22:00:00+00:00,20635.8,20668.805,20632.5,20659.195,0.4541699969122419
2024-01-01 22:15:00+00:00,20659.1,20663.0,20652.0,20652.25,0.1818299963051686
2024-01-01 22:30:00+00:00,20653.3,20655.65,20643.0,20646.15,0.1731099963362794
2024-01-01 22:45:00+00:00,20645.7,20645.85,20632.5,20638.055,0.1581899975863052
2024-01-01 23:00:00+00:00,20638.105,20650.1,20634.8,20641.3,0.1701499968185089
2024-01-01 23:15:00+00:00,20641.9,20645.0,20624.385,20634.835,0.4873799921333557
2024-01-01 23:30:00+00:00,20634.9,20648.135,20630.885,20648.055,0.5091999975848012
2024-01-01 23:45:00+00:00,20648.135,20659.115,20646.235,20655.215,0.3440099955769256
2024-01-02 00:00:00+00:00,20654.615,20697.635,20649.35,20693.800000000003,0.8017399861564627
2024-01-02 00:15:00+00:00,20693.65,20699.8,20674.3,20686.15,0.5310799888247857
2024-01-02 00:30:00+00:00,20686.6,20687.335,20671.135,20682.85,0.7320299878629157
2024-01-02 00:45:00+00:00,20683.6,20692.1,20665.085,20666.905,0.5313799896248383
2024-01-02 01:00:00+00:00,20666.95,20669.25,20640.785,20647.6,0.5863299931806978
2024-01-02 01:15:00+00:00,20647.4,20672.205,20647.3,20668.0,0.4619199971930356
2024-01-02 01:30:00+00:00,20667.55,20684.935,20658.8,20675.7,0.3675499933742685
2024-01-02 01:45:00+00:00,20676.2,20683.75,20674.115,20678.665,0.3150699942052597
2024-01-02 02:00:00+00:00,20678.65,20695.6,20665.9,20692.1,0.2329699952388182
2024-01-02 02:15:00+00:00,20692.8,20701.1,20692.2,20698.55,0.3243099949031602
2024-01-02 02:30:00+00:00,20698.6,20700.65,20695.4,20699.7,0.0917999978555599
2024-01-02 02:45:00+00:00,20699.0,20704.3,20686.75,20696.865,0.4010899936838541
2024-01-02 03:00:00+00:00,20697.015,20705.165,20693.145,20704.415,0.2690499962045578
2024-01-02 03:15:00+00:00,20704.665,20707.165,20690.1,20695.465,0.288779995884397
2024-01-02 03:30:00+00:00,20696.365,20704.7,20696.365,20699.75,0.2182099969359114
2024-01-02 03:45:00+00:00,20700.265,20702.65,20689.55,20696.85,0.3971899936150294
2024-01-02 04:00:00+00:00,20697.0,20717.5,20695.85,20716.7,0.2214199955633375
2024-01-02 04:15:00+00:00,20716.9,20719.2,20709.3,20716.0,0.1533399966137949
2024-01-02 04:30:00+00:00,20715.9,20723.535,20709.3,20722.4,0.4119699925940949
2024-01-02 04:45:00+00:00,20722.6,20749.15,20720.6,20745.6,0.5690199910459341
2024-01-02 05:00:00+00:00,20746.1,20750.7,20730.1,20748.75,0.2772599939198699
