Date,Close,High,Low,Open,Volume
2010-08-11,83.20836639404297,84.26655098024644,83.07133500405286,84.23609891490003,273406900
2010-08-12,82.69830322265625,82.99520360558232,81.91418140066497,81.95224793514788,239542600
2010-08-13,82.45467376708984,82.9495095622385,82.35570893131467,82.43945064163843,158698500
2010-08-16,82.4166030883789,82.68305131259821,81.5944150181002,81.89131529767823,147895300
2010-08-17,83.42913055419922,84.03816022186227,82.8886194830135,83.12462152850506,172270300
2010-08-18,83.5813980102539,84.03055292719183,82.91146996514487,83.39107694887929,182922100
2010-08-19,82.12731170654297,83.35297934966925,81.78473624699356,83.14743523556675,265847600
2010-08-20,81.86087799072266,82.17300725828242,81.26707732458495,81.8837155843223,209714200
2010-08-23,81.54875946044922,82.65261914415672,81.51069293005776,82.24913947781035,163490300
2010-08-24,80.33833312988281,80.99303810785615,79.91201577050981,80.65807114941256,280677800
2010-08-25,80.65045166015625,80.9549606998895,79.39433154277489,79.89677610484486,272234800
2010-08-26,80.10992431640625,81.13765663740858,79.84347024847459,81.0310773334905,224439500
2010-08-27,81.35082244873047,81.43456416752936,79.40954559750074,80.61237591466946,272649000
2010-08-30,80.17083740234375,81.3888967712687,80.16322874218767,81.13767159081762,167238600
2010-08-31,80.17083740234375,80.68090223153952,79.5465845894316,79.87393702840612,273933100
2010-09-01,82.56888580322266,82.6830795978488,81.19857769212187,81.25186735519571,256828100
2010-09-02,83.33777618408203,83.35299931138374,82.59171516728235,82.76681307600599,156112200
2010-09-03,84.4188003540039,84.49492760866167,83.70319138231915,84.15235205863317,212197300
2010-09-07,83.46720123291016,84.1295205937857,83.39868844116664,84.02294126787069,141973700
2010-09-08,84.05338287353516,84.38834393838188,83.59660775287131,83.63467428230561,149924400
2010-09-09,84.44163513183594,85.02021270257518,84.2132533754836,84.99737510775364,147017900
2010-09-10,84.86795806884766,84.96692291563564,84.40357428106167,84.59389531513341,127819000
2010-09-13,85.81192779541016,85.98701985139932,85.36276724456391,85.70534850703353,178503500
2010-09-14,85.75868225097656,86.24590376499555,85.32475040854908,85.64448843809805,209823600
2010-09-15,86.08599090576172,86.18495572884541,85.24857971805218,85.50741347448749,168608400
2010-09-16,86.06316375732422,86.11645340823968,85.53026144003331,85.81955309483409,199962900
2010-09-17,86.09530639648438,86.60044657419976,85.85804677077424,86.51625654458053,195836900
2010-09-20,87.41173553466797,87.60307547039027,86.11827570063116,86.39380567520979,214555200
2010-09-21,87.2356948852539,87.89389880770241,86.87597491791404,87.48060973802541,268389100
2010-09-22,86.8071060180664,87.5877762741751,86.56219111872937,87.09794647550102,191322400
2010-09-23,86.10296630859375,86.99843575678766,85.85805143799632,86.09531107660383,202354300
2010-09-24,87.87862396240234,87.9398541561512,86.98315427594771,87.05968909851747,209671800
2010-09-27,87.45762634277344,88.00868610978547,87.37344217097446,87.90919147821977,128761800
2010-09-28,87.76377868652344,88.04696382372548,86.62339458564816,87.57243879795638,209207500
2010-09-29,87.6107177734375,87.94747787916461,87.26630243642644,87.54183237034306,179665800
2010-09-30,87.35051727294922,88.62101742233831,86.93722225468646,88.05465277030368,287106700
2010-10-01,87.71788787841797,88.10822301466591,87.19744297649802,88.00872250272573,174638700
2010-10-04,87.05966186523438,87.90155632861244,86.6234070898965,87.53418695950205,166153200
2010-10-05,88.81233215332031,89.02663191541305,87.76378735824592,87.86328784723938,229634100
2010-10-06,88.80467224121094,89.03428245376804,88.4449522998456,88.79701701033096,148626600
2010-10-07,88.6975326538086,89.18736238079735,88.1617832146743,89.1644025247246,164860000
2010-10-08,89.19500732421875,89.43992215946302,88.48322267191035,88.81998276008258,177760100
2010-10-11,89.27920532226562,89.52412017939004,88.9730602910524,89.33278026478563,103098300
2010-10-12,89.55475616455078,89.81497570630573,88.5138663190667,88.98838568090974,182210000
2010-10-13,90.25123596191406,90.73341642509901,89.83794092456948,90.05224659666973,194347200
2010-10-14,89.89913940429688,90.32008952696123,89.33277492590064,90.16701410088763,217764300
2010-10-15,90.08282470703125,90.58030962660011,89.36339063675504,90.52673468690688,243705000
2010-10-18,90.52676391601562,90.82525379628669,89.78436391254006,90.11346888812514,141204800
2010-10-19,89.34040069580078,90.19759944221826,88.79699041147445,89.69246530082631,280604700
2010-10-20,90.21295166015625,90.64920646389996,89.44759194557211,89.50116689202375,200051800
2010-10-21,90.41192626953125,91.14667077526387,89.70779684810793,90.61857662881152,221585500
2010-10-22,90.580322265625,90.71808724966341,90.31244752978124,90.5497071759241,108212400
2010-10-25,90.84819793701172,91.65948322436189,90.77931836389885,91.18495808795826,151145700
2010-10-26,90.8635025024414,90.95534192729602,90.2129479397204,90.3889773968457,158982900
2010-10-27,90.6032943725586,90.70279488734671,89.74609510196613,90.2282696916744,190024000
2010-10-28,90.61859130859375,91.16199600484488,90.18233650516784,91.12372568345106,168576000
2010-10-29,90.68746948242188,90.8635047831968,90.36601980890013,90.526744645661,144305500
2010-11-01,90.71808624267578,91.65182603087906,90.19764140200009,91.13138119020337,174074800
2010-11-02,91.43753814697266,91.65183796116423,91.15435291294408,91.39926782048188,158345900
2010-11-03,91.80489349365234,91.85846843897475,90.656853945974,91.59824894433193,226702800
2010-11-04,93.5728759765625,93.61879568874224,91.82020161118758,92.82282092198479,215039400
2010-11-05,93.92491149902344,94.07798105147512,93.51161670032896,93.63407117444447,180654100
2010-11-08,93.74891662597656,93.90199208357052,93.32797225586441,93.63411149258901,156107100
2010-11-09,93.07540893554688,94.10098829987005,92.70038425567682,94.00149362458308,186621600
2010-11-10,93.45042419433594,93.4963497499579,92.34831012634388,93.05243969407826,221387400
2010-11-11,93.0983657836914,93.2361307815253,92.36362107498788,92.64680630365531,158017600
2010-11-12,91.9962158203125,92.87638047301212,91.57527157022484,92.47074084470421,239068800
2010-11-15,91.86614227294922,92.64681259341809,91.82787778381707,92.28709252802874,163940800
2010-11-16,90.43492126464844,91.45284541141405,89.99866055130752,91.29977577950059,299566200
2010-11-17,90.4808120727539,90.85583663856332,90.20528215197099,90.47315684183486,172308900
2010-11-18,91.81258392333984,92.14168895341085,91.34571386116392,91.3533690960679,197723700
2010-11-19,92.06510925292969,92.10337373033421,91.2691345486115,91.76661946871418,156852900
2010-11-22,91.98857116699219,92.02683564302738,90.9017561092938,91.60589137125861,181361000
